Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,
70|64|13|5|Neighbors|J. COLE|2016-12-31|13|13|6|20170128,,,,,
71|73|71|4|OTW|DJ LUKE NASTY|2017-01-07|91|71|6|20170128,,,,,
72|81|48|6|Redbone|CHILDISH GAMBINO|2016-12-24|48|48|8|20170128,,,,,
73|76|73|3|Goosebumps|TRAVIS SCOTT|2017-01-14|85|51|5|20170128,,,,,
74|75|74|4|Red Opps|21 SAVAGE|2017-01-07|92|74|5|20170128,,,,,
75|67|47|18|Sleep Without You|BRETT YOUNG|2016-10-01|89|47|18|20170128,,,,,
76|66|59|16|Song For Another Time|OLD DOMINION|2016-10-15|92|59|18|20170128,,,,,
77|NEW|77|1|Location|KHALID|2017-01-28|77|64|3|20170128,,,,,
78|74|74|3|80s Mercedes|MAREN MORRIS|2017-01-14|91|74|5|20170128,,,,,
79|78|78|3|Parachute|CHRIS STAPLETON|2017-01-14|89|78|4|20170128,,,,,
80|79|79|3|Kill A Word|ERIC CHURCH featuring RHIANNON GIDDENS|2017-01-14|82|71|5|20170128,,,,,
81|65|65|7|You're Welcome|DWAYNE JOHNSON|2016-12-17|83|65|8|20170128,,,,,
82|87|82|3|Think A Little Less|MICHAEL RAY|2017-01-14|90|62|5|20170128,,,,,
83|92|83|2|Sober Saturday Night|CHRIS YOUNG featuring VINCE GILL|2017-01-21|92|63|4|20170128,,,,,
84|91|59|15|Fresh Eyes|ANDY GRAMMER|2016-10-22|97|59|17|20170128,,,,,
85|90|85|2|Congratulations|POST MALONE featuring QUAVO|2017-01-21|90|58|4|20170128,,,,,
86|83|83|3|Sex With Me|RIHANNA|2017-01-14|94|83|5|20170128,,,,,
87|100|87|2|Water|UGLY GOD|2017-01-21|100|80|4|20170128,,,,,
88|89|88|3|Timeless|A BOOGIE WIT DA HOODIE featuring DJ SPINKING|2017-01-14|96|86|4|20170128,,,,,
89|NEW|89|1|Drinkin' Too Much|SAM HUNT|2017-01-28|89|89|1|20170128,,,,,
90|93|90|2|Beibs In The Trap|TRAVIS SCOTT|2017-01-21|93|90|3|20170128,,,,,
91|85|85|3|Way Down We Go|KALEO|2017-01-14|98|54|5|20170128,,,,,
92|80|18|15|All We Know|THE CHAINSMOKERS featuring PHOEBE RYAN|2016-10-22|18|18|16|20170128,,,,,
93|95|93|2|The Weekend|BRANTLEY GILBERT|2017-01-21|95|79|4|20170128,,,,,
94|NEW|94|1|Call On Me|STARLEY|2017-01-28|94|79|3|20170128,,,,,
95|NEW|95|1|Today|BRAD PAISLEY|2017-01-28|95|74|3|20170128,,,,,
96|86|52|6|Million Reasons|LADY GAGA|2016-12-24|52|52|6|20170128,,,,,
97|82|11|5|Immortal|J. COLE|2016-12-31|11|11|5|20170128,,,,,
98|NEW|98|1|What They Want|RUSS|2017-01-28|98|98|1|20170128,,,,,
99|99|52|5|Just Hold On|STEVE AOKI & LOUIS TOMLINSON|2016-12-31|52|52|6|20170128,,,,,
100|NEW|100|1|If The Boot Fits|GRANGER SMITH|2017-01-28|100|100|1|20170128,,,,,
1|2|1|8|Bad Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|11|20170121,,,,,
2|1|1|17|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|20|20170121,,,,,
3|4|1|23|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20170121,,,,,
4|3|1|16|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20170121,,,,,
5|5|4|13|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20170121,,,,,
6|7|4|19|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20170121,,,,,
7|11|7|13|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|7|16|20170121,,,,,
8|8|4|22|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20170121,,,,,
9|9|9|11|Fake Love|DRAKE|2016-11-12|24|9|14|20170121,,,,,
10|12|9|9|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|12|20170121,,,,,
11|6|5|14|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20170121,,,,,
12|15|12|19|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|10|22|20170121,,,,,
13|13|2|29|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20170121,,,,,
14|22|6|4|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|5|7|20170121,,,,,
15|10|5|30|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20170121,,,,,
16|14|11|18|Caroline|AMINE|2016-09-24|96|11|21|20170121,,,,,
17|18|12|23|Starving|HAILEE STEINFELD & GREY featuring ZEDD|2016-08-20|96|12|26|20170121,,,,,
18|21|18|9|Bounce Back|BIG SEAN|2016-11-26|61|15|12|20170121,,,,,
19|17|17|15|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20170121,,,,,
20|25|1|35|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|38|20170121,,,,,
21|23|20|11|Love On The Brain|RIHANNA|2016-11-12|80|14|14|20170121,,,,,
22|16|16|13|All Time Low|JON BELLION|2016-10-29|82|16|16|20170121,,,,,
23|24|6|31|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20170121,,,,,
24|19|19|19|Ooouuu|YOUNG M.A.|2016-09-17|85|19|20|20170121,,,,,
25|34|22|7|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|18|10|20170121,,,,,
26|30|1|47|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20170121,,,,,
27|20|20|15|This Town|NIALL HORAN|2016-10-15|63|20|18|20170121,,,,,
28|26|24|21|In The Name Of Love|MARTIN GARRIX & BEBE REXHA|2016-09-03|93|24|23|20170121,,,,,
29|37|3|46|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20170121,,,,,
30|28|24|17|Blue Ain't Your Color|KEITH URBAN|2016-10-01|73|24|20|20170121,,,,,
31|39|23|10|Love Me Now|JOHN LEGEND|2016-11-19|98|23|13|20170121,,,,,
32|27|18|18|The Greatest|SIA featuring KENDRICK LAMAR|2016-09-24|52|18|21|20170121,,,,,
33|31|10|38|I Hate U I Love U|GNASH featuring OLIVIA O'BRIEN|2016-05-07|93|10|39|20170121,,,,,
34|38|2|24|Cold Water|MAJOR LAZER featuring JUSTIN BIEBER & MO|2016-08-13|2|2|27|20170121,,,,,
35|29|29|23|Chill Bill|ROB stone featuring J. DAVI$ & SPOOKS|2016-08-20|97|29|26|20170121,,,,,
36|36|36|17|X|21 SAVAGE & METRO BOOMIN featuring FUTURE|2016-10-01|98|36|20|20170121,,,,,
37|50|37|11|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|30|14|20170121,,,,,
38|44|38|8|Water Under The Bridge|ADELE|2016-12-03|94|26|11|20170121,,,,,
39|40|20|34|Unsteady|X AMBASSADORS|2016-06-04|99|20|34|20170121,,,,,
40|42|40|26|You Was Right|LIL UZI VERT|2016-07-30|89|40|28|20170121,,,,,
41|49|41|6|How Far I'll Go|AULI'I CRAVALHO|2016-12-17|52|41|9|20170121,,,,,
42|45|30|19|May We All|FLORIDA GEORGIA LINE featuring TIM McGRAW|2016-09-17|56|30|20|20170121,,,,,
43|43|43|11|No Heart|21 SAVAGE & METRO BOOMIN|2016-11-12|85|43|14|20170121,,,,,
44|55|44|10|Better Man|LITTLE BIG TOWN|2016-11-19|54|35|13|20170121,,,,,
45|52|14|9|Used To This|FUTURE featuring DRAKE|2016-11-26|14|14|12|20170121,,,,,
46|48|46|14|Wanna Be That Song|BRETT ELDREDGE|2016-10-22|98|46|17|20170121,,,,,
47|46|7|4|Deja Vu|J. COLE|2016-12-31|7|7|7|20170121,,,,,
48|54|48|12|Dirty Laundry|CARRIE UNDERWOOD|2016-11-05|73|48|15|20170121,,,,,
49|53|16|7|Party Monster|THE WEEKND|2016-12-10|39|16|10|20170121,,,,,
50|56|50|20|Too Much Sauce|DJ ESCO featuring FUTURE & LIL UZI VERT|2016-09-10|94|50|20|20170121,,,,,
51|63|51|7|Chantaje|SHAKIRA featuring MALUMA|2016-12-10|77|51|10|20170121,,,,,
52|57|41|3|Both|GUCCI MANE featuring DRAKE|2017-01-07|41|41|6|20170121,,,,,
53|58|53|3|Party|CHRIS BROWN featuring USHER & GUCCI MANE|2017-01-07|58|40|6|20170121,,,,,
54|60|54|8|A Guy With A Girl|BLAKE SHELTON|2016-12-03|97|42|11|20170121,,,,,
55|77|55|3|Make Me (Cry)|NOAH CYRUS featuring LABRINTH|2017-01-07|75|55|6|20170121,,,,,
56|67|56|15|HandClap|FITZ AND THE TANTRUMS|2016-10-15|89|53|18|20170121,,,,,
57|59|57|10|Star Of The Show|THOMAS RHETT|2016-11-19|88|45|13|20170121,,,,,
58|69|58|4|How Far I'll Go|ALESSIA CARA|2016-12-31|94|56|7|20170121,,,,,
59|64|59|5|Dirt On My Boots|JON PARDI|2016-12-24|95|44|8|20170121,,,,,
60|51|51|9|Selfish|PNB ROCK|2016-11-26|87|51|12|20170121,,,,,
61|78|61|5|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|32|8|20170121,,,,,
62|80|62|2|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|29|5|20170121,,,,,
63|66|28|11|Sneakin'|DRAKE featuring 21 SAVAGE|2016-11-12|38|28|14|20170121,,,,,
64|61|13|4|Neighbors|J. COLE|2016-12-31|13|13|6|20170121,,,,,
65|73|65|6|You're Welcome|DWAYNE JOHNSON|2016-12-17|83|65|8|20170121,,,,,
66|72|59|15|Song For Another Time|OLD DOMINION|2016-10-15|92|59|18|20170121,,,,,
67|62|47|17|Sleep Without You|BRETT YOUNG|2016-10-01|89|47|18|20170121,,,,,
68|81|68|5|Play That Song|TRAIN|2016-12-24|77|60|8|20170121,,,,,
69|79|69|2|Seein' Red|DUSTIN LYNCH|2017-01-14|79|55|5|20170121,,,,,
70|70|70|12|How I'll Always Be|TIM McGRAW|2016-11-05|99|70|12|20170121,,,,,
71|76|71|3|Swang|RAE SREMMURD|2017-01-07|99|61|6|20170121,,,,,
72|84|72|5|Alone|MARSHMELLO|2016-12-24|94|60|8|20170121,,,,,
73|74|73|3|OTW|DJ LUKE NASTY|2017-01-07|91|71|6|20170121,,,,,
74|91|74|2|80s Mercedes|MAREN MORRIS|2017-01-14|91|74|5|20170121,,,,,
75|75|75|3|Red Opps|21 SAVAGE|2017-01-07|92|74|5|20170121,,,,,
76|85|76|2|Goosebumps|TRAVIS SCOTT|2017-01-14|85|51|5|20170121,,,,,
77|71|71|2|Moves|BIG SEAN|2017-01-14|71|62|5|20170121,,,,,
78|89|78|2|Parachute|CHRIS STAPLETON|2017-01-14|89|78|4|20170121,,,,,
79|82|79|2|Kill A Word|ERIC CHURCH featuring RHIANNON GIDDENS|2017-01-14|82|71|5|20170121,,,,,
80|88|18|14|All We Know|THE CHAINSMOKERS featuring PHOEBE RYAN|2016-10-22|18|18|16|20170121,,,,,
81|87|48|5|Redbone|CHILDISH GAMBINO|2016-12-24|48|48|8|20170121,,,,,
82|68|11|4|Immortal|J. COLE|2016-12-31|11|11|5|20170121,,,,,
83|94|83|2|Sex With Me|RIHANNA|2017-01-14|94|83|5|20170121,,,,,
84|32|23|11|Hallejujah|PENTATONIX|2016-11-12|32|23|11|20170121,,,,,
85|98|85|2|Way Down We Go|KALEO|2017-01-14|98|54|5|20170121,,,,,
86|83|52|5|Million Reasons|LADY GAGA|2016-12-24|52|52|6|20170121,,,,,
87|90|87|2|Think A Little Less|MICHAEL RAY|2017-01-14|90|62|5|20170121,,,,,
88|100|88|2|Shaky Shaky|DADDY YANKEE|2017-01-14|100|88|2|20170121,,,,,
89|96|89|2|Timeless|A BOOGIE WIT DA HOODIE featuring DJ SPINKING|2017-01-14|96|86|4|20170121,,,,,
90|NEW|90|1|Congratulations|POST MALONE featuring QUAVO|2017-01-21|90|58|4|20170121,,,,,
91|92|59|14|Fresh Eyes|ANDY GRAMMER|2016-10-22|97|59|17|20170121,,,,,
92|NEW|92|1|Sober Saturday Night|CHRIS YOUNG featuring VINCE GILL|2017-01-21|92|63|4|20170121,,,,,
93|NEW|93|1|Beibs In The Trap|TRAVIS SCOTT|2017-01-21|93|90|3|20170121,,,,,
94|NEW|94|1|I Got You|BEBE REXHA|2017-01-21|94|53|4|20170121,,,,,
95|NEW|95|1|The Weekend|BRANTLEY GILBERT|2017-01-21|95|79|4|20170121,,,,,
96|86|86|2|My Shit|A BOOGIE WIT DA HOODIE|2017-01-14|86|86|2|20170121,,,,,
97|NEW|97|1|Key To The Streets|YFN LUCCI featuring MIGOS & TROUBLE|2017-01-21|97|97|1|20170121,,,,,
98|NEW|98|1|We Know The Way|OPETAIA FOA'I & LIN-MANUEL MIRANDA|2017-01-21|98|98|1|20170121,,,,,
99|93|52|4|Just Hold On|STEVE AOKI & LOUIS TOMLINSON|2016-12-31|52|52|6|20170121,,,,,
100|NEW|100|1|Water|UGLY GOD|2017-01-21|100|80|4|20170121,,,,,
1|2|1|16|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|20|20170114,,,,,
2|13|2|7|Bad Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|11|20170114,,,,,
3|1|1|15|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20170114,,,,,
4|3|1|22|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20170114,,,,,
5|4|4|12|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20170114,,,,,
6|5|5|13|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20170114,,,,,
7|6|4|18|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20170114,,,,,
8|7|4|21|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20170114,,,,,
9|10|9|10|Fake Love|DRAKE|2016-11-12|24|9|14|20170114,,,,,
10|15|5|29|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20170114,,,,,
11|8|7|12|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|7|16|20170114,,,,,
12|9|9|8|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|12|20170114,,,,,
13|12|2|28|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20170114,,,,,
14|11|11|17|Caroline|AMINE|2016-09-24|96|11|21|20170114,,,,,
15|14|13|18|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|10|22|20170114,,,,,
16|24|16|12|All Time Low|JON BELLION|2016-10-29|82|16|16|20170114,,,,,
17|28|17|14|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20170114,,,,,
18|17|12|22|Starving|HAILEE STEINFELD & GREY featuring ZEDD|2016-08-20|96|12|26|20170114,,,,,
19|19|19|18|Ooouuu|YOUNG M.A.|2016-09-17|85|19|20|20170114,,,,,
20|37|20|14|This Town|NIALL HORAN|2016-10-15|63|20|18|20170114,,,,,
21|21|21|8|Bounce Back|BIG SEAN|2016-11-26|61|15|12|20170114,,,,,
22|18|6|3|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|5|7|20170114,,,,,
23|20|20|10|Love On The Brain|RIHANNA|2016-11-12|80|14|14|20170114,,,,,
24|26|6|30|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20170114,,,,,
25|32|1|34|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|38|20170114,,,,,
26|30|24|20|In The Name Of Love|MARTIN GARRIX & BEBE REXHA|2016-09-03|93|24|23|20170114,,,,,
27|22|18|17|The Greatest|SIA featuring KENDRICK LAMAR|2016-09-24|52|18|21|20170114,,,,,
28|33|24|16|Blue Ain't Your Color|KEITH URBAN|2016-10-01|73|24|20|20170114,,,,,
29|39|29|22|Chill Bill|ROB stone featuring J. DAVI$ & SPOOKS|2016-08-20|97|29|26|20170114,,,,,
30|36|1|46|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20170114,,,,,
31|31|10|37|I Hate U I Love U|GNASH featuring OLIVIA O'BRIEN|2016-05-07|93|10|39|20170114,,,,,
32|23|23|10|Hallejujah|PENTATONIX|2016-11-12|32|23|11|20170114,,,,,
33|NEW|33|1|Careless Whisper|WHAM! featuring GEORGE MICHAEL|2017-01-14|33|33|1|20170114,,,,,
34|25|22|6|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|18|10|20170114,,,,,
35|16|16|5|All I Want For Christmas Is You|MARIAH CAREY|2016-12-17|23|16|5|20170114,,,,,
36|43|36|16|X|21 SAVAGE & METRO BOOMIN featuring FUTURE|2016-10-01|98|36|20|20170114,,,,,
37|34|3|45|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20170114,,,,,
38|38|2|23|Cold Water|MAJOR LAZER featuring JUSTIN BIEBER & MO|2016-08-13|2|2|27|20170114,,,,,
39|40|23|9|Love Me Now|JOHN LEGEND|2016-11-19|98|23|13|20170114,,,,,
40|42|20|33|Unsteady|X AMBASSADORS|2016-06-04|99|20|34|20170114,,,,,
41|50|41|2|Last Christmas|WHAM!|2017-01-07|50|41|2|20170114,,,,,
42|52|42|25|You Was Right|LIL UZI VERT|2016-07-30|89|40|28|20170114,,,,,
43|53|43|10|No Heart|21 SAVAGE & METRO BOOMIN|2016-11-12|85|43|14|20170114,,,,,
44|51|44|7|Water Under The Bridge|ADELE|2016-12-03|94|26|11|20170114,,,,,
45|60|30|18|May We All|FLORIDA GEORGIA LINE featuring TIM McGRAW|2016-09-17|56|30|20|20170114,,,,,
46|35|7|3|Deja Vu|J. COLE|2016-12-31|7|7|7|20170114,,,,,
47|NEW|47|1|Faith|GEORGE MICHAEL|2017-01-14|47|47|1|20170114,,,,,
48|62|48|13|Wanna Be That Song|BRETT ELDREDGE|2016-10-22|98|46|17|20170114,,,,,
49|56|49|5|How Far I'll Go|AULI'I CRAVALHO|2016-12-17|52|41|9|20170114,,,,,
50|61|50|10|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|30|14|20170114,,,,,
51|85|51|8|Selfish|PNB ROCK|2016-11-26|87|51|12|20170114,,,,,
52|55|14|8|Used To This|FUTURE featuring DRAKE|2016-11-26|14|14|12|20170114,,,,,
53|49|16|6|Party Monster|THE WEEKND|2016-12-10|39|16|10|20170114,,,,,
54|66|54|11|Dirty Laundry|CARRIE UNDERWOOD|2016-11-05|73|48|15|20170114,,,,,
55|64|53|9|Better Man|LITTLE BIG TOWN|2016-11-19|54|35|13|20170114,,,,,
56|63|56|19|Too Much Sauce|DJ ESCO featuring FUTURE & LIL UZI VERT|2016-09-10|94|50|20|20170114,,,,,
57|41|41|2|Both|GUCCI MANE featuring DRAKE|2017-01-07|41|41|6|20170114,,,,,
58|58|58|2|Party|CHRIS BROWN featuring USHER & GUCCI MANE|2017-01-07|58|40|6|20170114,,,,,
59|76|59|9|Star Of The Show|THOMAS RHETT|2016-11-19|88|45|13|20170114,,,,,
60|71|60|7|A Guy With A Girl|BLAKE SHELTON|2016-12-03|97|42|11|20170114,,,,,
61|54|13|3|Neighbors|J. COLE|2016-12-31|13|13|6|20170114,,,,,
62|88|47|16|Sleep Without You|BRETT YOUNG|2016-10-01|89|47|18|20170114,,,,,
63|65|63|6|Chantaje|SHAKIRA featuring MALUMA|2016-12-10|77|51|10|20170114,,,,,
64|84|64|4|Dirt On My Boots|JON PARDI|2016-12-24|95|44|8|20170114,,,,,
65|74|43|20|Pick Up The Phone|YOUNG THUG and TRAVIS SCOTT featuring QUAVO|2016-09-03|90|43|20|20170114,,,,,
66|69|28|10|Sneakin'|DRAKE featuring 21 SAVAGE|2016-11-12|38|28|14|20170114,,,,,
67|77|63|14|HandClap|FITZ AND THE TANTRUMS|2016-10-15|89|53|18|20170114,,,,,
68|59|11|3|Immortal|J. COLE|2016-12-31|11|11|5|20170114,,,,,
69|81|69|3|How Far I'll Go|ALESSIA CARA|2016-12-31|94|56|7|20170114,,,,,
70|78|70|11|How I'll Always Be|TIM McGRAW|2016-11-05|99|70|12|20170114,,,,,
71|NEW|71|1|Moves|BIG SEAN|2017-01-14|71|62|5|20170114,,,,,
72|73|59|14|Song For Another Time|OLD DOMINION|2016-10-15|92|59|18|20170114,,,,,
73|86|73|5|You're Welcome|DWAYNE JOHNSON|2016-12-17|83|65|8|20170114,,,,,
74|91|74|2|OTW|DJ LUKE NASTY|2017-01-07|91|71|6|20170114,,,,,
75|92|75|2|Red Opps|21 SAVAGE|2017-01-07|92|74|5|20170114,,,,,
76|99|76|2|Swang|RAE SREMMURD|2017-01-07|99|61|6|20170114,,,,,
77|75|75|2|Make Me (Cry)|NOAH CYRUS featuring LABRINTH|2017-01-07|75|55|6|20170114,,,,,
78|79|78|4|Rockabye|CLEAN BANDIT featuring SEAN PAUL & ANNE-MARIE|2016-12-24|100|32|8|20170114,,,,,
79|NEW|79|1|Seein' Red|DUSTIN LYNCH|2017-01-14|79|55|5|20170114,,,,,
80|NEW|80|1|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|29|5|20170114,,,,,
81|96|77|4|Play That Song|TRAIN|2016-12-24|77|60|8|20170114,,,,,
82|NEW|82|1|Kill A Word|ERIC CHURCH featuring RHIANNON GIDDENS|2017-01-14|82|71|5|20170114,,,,,
83|70|52|4|Million Reasons|LADY GAGA|2016-12-24|52|52|6|20170114,,,,,
84|80|80|4|Alone|MARSHMELLO|2016-12-24|94|60|8|20170114,,,,,
85|NEW|85|1|Goosebumps|TRAVIS SCOTT|2017-01-14|85|51|5|20170114,,,,,
86|NEW|86|1|My Shit|A BOOGIE WIT DA HOODIE|2017-01-14|86|86|2|20170114,,,,,
87|68|48|4|Redbone|CHILDISH GAMBINO|2016-12-24|48|48|8|20170114,,,,,
88|82|18|13|All We Know|THE CHAINSMOKERS featuring PHOEBE RYAN|2016-10-22|18|18|16|20170114,,,,,
89|NEW|89|1|Parachute|CHRIS STAPLETON|2017-01-14|89|78|4|20170114,,,,,
90|NEW|90|1|Think A Little Less|MICHAEL RAY|2017-01-14|90|62|5|20170114,,,,,
91|NEW|91|1|80s Mercedes|MAREN MORRIS|2017-01-14|91|74|5|20170114,,,,,
92|87|59|13|Fresh Eyes|ANDY GRAMMER|2016-10-22|97|59|17|20170114,,,,,
93|72|52|3|Just Hold On|STEVE AOKI & LOUIS TOMLINSON|2016-12-31|52|52|6|20170114,,,,,
94|NEW|94|1|Sex With Me|RIHANNA|2017-01-14|94|83|5|20170114,,,,,
95|NEW|95|1|No Flockin|KODAK BLACK|2017-01-14|95|95|1|20170114,,,,,
96|NEW|96|1|Timeless|A BOOGIE WIT DA HOODIE featuring DJ SPINKING|2017-01-14|96|86|4|20170114,,,,,
97|NEW|97|1|Black Barbies|NICKI MINAJ x MIKE WILL MADE-IT|2017-01-14|97|97|1|20170114,,,,,
98|NEW|98|1|Way Down We Go|KALEO|2017-01-14|98|54|5|20170114,,,,,
99|NEW|99|1|Hate U Love U|OLIVIA O'BRIEN|2017-01-14|99|99|1|20170114,,,,,
100|NEW|100|1|Shaky Shaky|DADDY YANKEE|2017-01-14|100|88|2|20170114,,,,,
1|2|1|14|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20170107,,,,,
2|1|1|15|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|20|20170107,,,,,
3|3|1|21|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20170107,,,,,
4|4|4|11|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20170107,,,,,
5|8|5|12|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20170107,,,,,
6|5|4|17|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20170107,,,,,
7|9|4|20|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20170107,,,,,
8|10|7|11|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|7|16|20170107,,,,,
9|14|9|7|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|12|20170107,,,,,
10|12|10|9|Fake Love|DRAKE|2016-11-12|24|9|14|20170107,,,,,
11|16|11|16|Caroline|AMINE|2016-09-24|96|11|21|20170107,,,,,
12|15|2|27|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20170107,,,,,
13|26|13|6|Bad Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|11|20170107,,,,,
14|18|13|17|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|10|22|20170107,,,,,
15|17|5|28|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20170107,,,,,
16|20|16|4|All I Want For Christmas Is You|MARIAH CAREY|2016-12-17|23|16|5|20170107,,,,,
17|19|12|21|Starving|HAILEE STEINFELD & GREY featuring ZEDD|2016-08-20|96|12|26|20170107,,,,,
18|6|6|2|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|5|7|20170107,,,,,
19|47|19|17|Ooouuu|YOUNG M.A.|2016-09-17|85|19|20|20170107,,,,,
20|27|20|9|Love On The Brain|RIHANNA|2016-11-12|80|14|14|20170107,,,,,
21|31|21|7|Bounce Back|BIG SEAN|2016-11-26|61|15|12|20170107,,,,,
22|28|18|16|The Greatest|SIA featuring KENDRICK LAMAR|2016-09-24|52|18|21|20170107,,,,,
23|45|23|9|Hallejujah|PENTATONIX|2016-11-12|32|23|11|20170107,,,,,
24|36|24|11|All Time Low|JON BELLION|2016-10-29|82|16|16|20170107,,,,,
25|33|22|5|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|18|10|20170107,,,,,
26|32|6|29|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20170107,,,,,
27|48|27|3|Rockin' Around The Christmas Tree|BRENDA LEE|2016-12-24|37|27|3|20170107,,,,,
28|44|28|13|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20170107,,,,,
29|46|29|3|Jingle Bell Rock|BOBBY HELMS|2016-12-24|35|29|3|20170107,,,,,
30|35|24|19|In The Name Of Love|MARTIN GARRIX & BEBE REXHA|2016-09-03|93|24|23|20170107,,,,,
31|25|10|36|I Hate U I Love U|GNASH featuring OLIVIA O'BRIEN|2016-05-07|93|10|39|20170107,,,,,
32|39|1|33|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|38|20170107,,,,,
33|38|24|15|Blue Ain't Your Color|KEITH URBAN|2016-10-01|73|24|20|20170107,,,,,
34|43|3|44|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20170107,,,,,
35|7|7|2|Deja Vu|J. COLE|2016-12-31|7|7|7|20170107,,,,,
36|41|1|45|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20170107,,,,,
37|50|25|13|This Town|NIALL HORAN|2016-10-15|63|20|18|20170107,,,,,
